# z    r(Mpc/h)
4.311437145715238395e-01 1.158484582648501146e+03
4.321440480160053665e-01 1.160859539014231359e+03
4.331443814604868381e-01 1.163233087514745193e+03
4.341447149049683651e-01 1.165605228687375529e+03
4.351450483494498367e-01 1.167975963071148954e+03
4.361453817939313082e-01 1.170345291206780757e+03
4.371457152384128353e-01 1.172713213636665841e+03
4.381460486828943068e-01 1.175079730904872349e+03
4.391463821273758339e-01 1.177444843557137119e+03
4.401467155718573054e-01 1.179808552140854090e+03
4.411470490163387770e-01 1.182170857205072025e+03
4.421473824608203040e-01 1.184531759300484964e+03
4.431477159053017756e-01 1.186891258979425402e+03
4.441480493497833026e-01 1.189249356795858603e+03
4.451483827942647742e-01 1.191606053305374871e+03
4.461487162387462457e-01 1.193961349065182958e+03
4.471490496832277728e-01 1.196315244634103010e+03
4.481493831277092443e-01 1.198667740572559978e+03
4.491497165721907714e-01 1.201018837442576796e+03
4.501500500166722429e-01 1.203368535807767557e+03
4.511503834611537145e-01 1.205716836233329786e+03
4.521507169056352415e-01 1.208063739286039890e+03
4.531510503501167131e-01 1.210409245534243155e+03
4.541513837945982401e-01 1.212753355547849878e+03
4.551517172390797117e-01 1.215096069898327642e+03
4.561520506835611832e-01 1.217437389158693577e+03
4.571523841280427103e-01 1.219777313903508912e+03
4.581527175725241818e-01 1.222115844708871691e+03
4.591530510170057089e-01 1.224452982152409959e+03
4.601533844614871804e-01 1.226788726813275844e+03
4.611537179059686520e-01 1.229123079272137147e+03
4.621540513504501790e-01 1.231456040111172797e+03
4.631543847949316506e-01 1.233787609914064660e+03
4.641547182394131776e-01 1.236117789265991178e+03
4.651550516838946492e-01 1.238446578753620997e+03
4.661553851283761207e-01 1.240773978965106608e+03
4.671557185728576478e-01 1.243099990490076834e+03
4.681560520173391193e-01 1.245424613919631383e+03
4.691563854618206464e-01 1.247747849846332429e+03
4.701567189063021179e-01 1.250069698864200063e+03
4.711570523507836450e-01 1.252390161568704343e+03
4.721573857952651165e-01 1.254709238556760056e+03
4.731577192397465881e-01 1.257026930426718309e+03
4.741580526842281151e-01 1.259343237778361527e+03
4.751583861287095867e-01 1.261658161212895720e+03
4.761587195731911137e-01 1.263971701332945713e+03
4.771590530176725853e-01 1.266283858742546954e+03
4.781593864621540568e-01 1.268594634047138697e+03
4.791597199066355839e-01 1.270904027853559910e+03
4.801600533511170554e-01 1.273212040770041312e+03
4.811603867955985825e-01 1.275518673406197195e+03
4.821607202400800540e-01 1.277823926373022687e+03
4.831610536845615256e-01 1.280127800282883982e+03
4.841613871290430526e-01 1.282430295749514016e+03
4.851617205735245242e-01 1.284731413388004967e+03
4.861620540180060512e-01 1.287031153814802565e+03
4.871623874624875228e-01 1.289329517647698594e+03
4.881627209069689943e-01 1.291626505505825662e+03
4.891630543514505214e-01 1.293922118009651058e+03
4.901633877959319929e-01 1.296216355780968797e+03
4.911637212404135200e-01 1.298509219442895301e+03
4.921640546848949915e-01 1.300800709619859845e+03
4.931643881293764631e-01 1.303090826937603424e+03
4.941647215738579901e-01 1.305379572023167611e+03
4.951650550183394617e-01 1.307666945504890919e+03
4.961653884628209887e-01 1.309952948012401293e+03
4.971657219073024603e-01 1.312237580176609299e+03
4.981660553517839318e-01 1.314520842629705157e+03
4.991663887962654589e-01 1.316802736005148518e+03
5.001667222407469859e-01 1.319083260937664591e+03
5.011670556852284575e-01 1.321362418063236646e+03
5.021673891297099290e-01 1.323640208019101237e+03
5.031677225741914006e-01 1.325916631443740016e+03
5.041680560186728721e-01 1.328191688976876776e+03
5.051683894631544547e-01 1.330465381259467449e+03
5.061687229076359262e-01 1.332737708933696695e+03
5.071690563521173978e-01 1.335008672642969714e+03
5.081693897965988693e-01 1.337278273031908839e+03
5.091697232410803409e-01 1.339546510746344893e+03
5.101700566855619234e-01 1.341813386433312189e+03
5.111703901300433950e-01 1.344078900741042162e+03
5.121707235745248665e-01 1.346343054318957456e+03
5.131710570190063381e-01 1.348605847817666472e+03
5.141713904634878096e-01 1.350867281888956313e+03
5.151717239079693922e-01 1.353127357185786195e+03
5.161720573524508637e-01 1.355386074362283807e+03
5.171723907969323353e-01 1.357643434073737126e+03
5.181727242414138068e-01 1.359899436976588731e+03
5.191730576858952784e-01 1.362154083728431033e+03
5.201733911303768609e-01 1.364407374987999447e+03
5.211737245748583325e-01 1.366659311415165575e+03
5.221740580193398040e-01 1.368909893670933570e+03
5.231743914638212756e-01 1.371159122417431945e+03
5.241747249083027471e-01 1.373406998317908347e+03
5.251750583527843297e-01 1.375653522036724326e+03
5.261753917972658012e-01 1.377898694239349197e+03
5.271757252417472728e-01 1.380142515592352538e+03
5.281760586862287443e-01 1.382384986763401457e+03
5.291763921307102159e-01 1.384626108421252411e+03
5.301767255751917984e-01 1.386865881235745292e+03
5.311770590196732700e-01 1.389104305877798652e+03
5.321773924641547415e-01 1.391341383019403565e+03
5.331777259086362131e-01 1.393577113333617490e+03
5.341780593531176846e-01 1.395811497494559717e+03
5.351783927975992672e-01 1.398044536177403188e+03
5.361787262420807387e-01 1.400276230058371311e+03
5.371790596865622103e-01 1.402506579814730003e+03
5.381793931310436818e-01 1.404735586124784277e+03
5.391797265755251534e-01 1.406963249667870059e+03
5.401800600200067359e-01 1.409189571124350323e+03
5.411803934644882075e-01 1.411414551175608949e+03
5.421807269089696790e-01 1.413638190504044587e+03
5.431810603534511506e-01 1.415860489793064744e+03
5.441813937979326221e-01 1.418081449727081917e+03
5.451817272424142047e-01 1.420301070991505185e+03
5.461820606868956762e-01 1.422519354272737473e+03
5.471823941313771478e-01 1.424736300258167148e+03
5.481827275758586193e-01 1.426951909636164828e+03
5.491830610203400909e-01 1.429166183096075883e+03
5.501833944648216734e-01 1.431379121328217707e+03
5.511837279093031450e-01 1.433590725023868799e+03
5.521840613537846165e-01 1.435800994875269907e+03
5.531843947982660881e-01 1.438009931575613564e+03
5.541847282427475596e-01 1.440217535819039995e+03
5.551850616872291422e-01 1.442423808300633027e+03
5.561853951317106137e-01 1.444628749716412131e+03
5.571857285761920853e-01 1.446832360763328552e+03
5.581860620206735568e-01 1.449034642139260313e+03
5.591863954651550284e-01 1.451235594543004254e+03
5.601867289096366109e-01 1.453435218674273528e+03
5.611870623541180825e-01 1.455633515233691242e+03
5.621873957985995540e-01 1.457830484922782261e+03
5.631877292430810256e-01 1.460026128443973448e+03
5.641880626875624971e-01 1.462220446500582739e+03
5.651883961320440797e-01 1.464413439796817102e+03
5.661887295765255512e-01 1.466605109037766169e+03
5.671890630210070228e-01 1.468795454929396556e+03
5.681893964654884943e-01 1.470984478178546169e+03
5.691897299099699659e-01 1.473172179492921032e+03
5.701900633544515484e-01 1.475358559581088457e+03
5.711903967989330200e-01 1.477543619152470001e+03
5.721907302434144915e-01 1.479727358917338506e+03
5.731910636878959631e-01 1.481909779586814921e+03
5.741913971323774346e-01 1.484090881872856471e+03
5.751917305768590172e-01 1.486270666488258257e+03
5.761920640213404887e-01 1.488449134146643473e+03
5.771923974658219603e-01 1.490626285562461362e+03
5.781927309103034318e-01 1.492802121450978802e+03
5.791930643547849034e-01 1.494976642528277807e+03
5.801933977992664859e-01 1.497149849511250068e+03
